LM75_U4,LM75_U7,LM75_U10,LM75_U60,PSU1_TEMP1,PSU2_TEMP1,Time
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:44:05 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:44:16 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:44:27 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:44:38 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:44:49 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:45:01 PM UTC
26.0,26.0,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:45:12 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:45:23 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:45:34 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:45:46 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:45:56 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:46:08 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:46:19 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:46:30 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:46:41 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:46:52 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:47:04 PM UTC
26.0,26.5,32.5,35.0,36.0,34.0,Thu 15 Dec 2022 12:47:15 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Thu 15 Dec 2022 12:47:26 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Thu 15 Dec 2022 12:47:37 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Thu 15 Dec 2022 12:47:49 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Thu 15 Dec 2022 12:48:00 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Thu 15 Dec 2022 12:48:11 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:48:22 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:48:34 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:48:45 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:48:57 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:49:08 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:49:20 PM UTC
26.0,26.5,32.5,34.5,36.0,34.0,Thu 15 Dec 2022 12:49:31 PM UTC
