Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4825,2677,4825,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,0,0,0,0,0,0,0,0,4894,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4825,2677,4825,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,0,0,0,0,0,0,0,0,0,0,0,0,4891,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4824,2677,Wed 14 Dec 2022 02:13:43 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4825,2677,4825,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,0,0,0,0,0,0,0,0,4895,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4825,2677,4825,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,4823,2677,0,0,0,0,0,0,0,0,0,0,0,0,4892,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4824,2677,Wed 14 Dec 2022 02:13:54 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,4895,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,0,0,0,0,4892,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4825,2677,Wed 14 Dec 2022 02:14:05 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,4895,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,0,0,0,0,4892,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4825,2677,Wed 14 Dec 2022 02:14:16 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,4896,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4826,2677,4826,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,4824,2677,0,0,0,0,0,0,0,0,0,0,0,0,4893,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4825,2677,Wed 14 Dec 2022 02:14:27 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,4896,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,0,0,0,0,4893,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4826,2677,Wed 14 Dec 2022 02:14:39 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,4897,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,0,0,0,0,4894,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4826,2677,Wed 14 Dec 2022 02:14:50 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,4897,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4827,2677,4827,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,4825,2677,0,0,0,0,0,0,0,0,0,0,0,0,4894,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4826,2677,Wed 14 Dec 2022 02:15:01 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4828,2677,4828,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,0,0,0,0,0,0,0,0,4897,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4828,2677,4828,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,0,0,0,0,0,0,0,0,0,0,0,0,4894,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4827,2677,Wed 14 Dec 2022 02:15:12 PM UTC
2673,2677,2673,2677,2673,2677,2671,2677,33705122,2718,2673,2677,2671,2677,2687,2694,4828,2677,4828,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,0,0,0,0,0,0,0,0,4898,2706,0,0,0,0,0,0,2677,2677,2677,2677,2677,2677,2671,2677,2677,2677,2674,2677,2677,2677,2677,2677,4828,2677,4828,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,4826,2677,0,0,0,0,0,0,0,0,0,0,0,0,4895,2706,0,0,4,33705096,815703327080,2678,0,0,0,0,2675,2677,0,0,1,2,4827,2677,Wed 14 Dec 2022 02:15:23 PM UTC
